Main	Middle	Sub	Address	Central	Unfiltered	Description	DatapointType	Security
		EG_Küche_Deckenlicht_Esstisch TW_ABS	1/2/3					Auto
		EG_Küche_Deckenlicht_Esstisch TW_REL	1/2/4					Auto
		EG_Küche_Deckenlicht_Esstisch RGB_ABS	1/2/5					Auto
		EG_Küche_Deckenlicht_Esstisch RM_EA	1/2/6					Auto
		EG_Küche_Deckenlicht_Esstisch RM_DIM	1/2/7					Auto
		EG_Küche_Deckenlicht_Esstisch RM_TWRGB	1/2/8					Auto
		EG_Küche_Deckenlicht_Esstisch FEHLER	1/2/9					Auto
		EG_Küche_Deckenlicht_Kochinsel EA	1/2/10					Auto
		EG_Küche_Deckenlicht_Kochinsel DIM_REL	1/2/11					Auto
		EG_Küche_Deckenlicht_Kochinsel DIM_ABS	1/2/12					Auto
		EG_Küche_Deckenlicht_Kochinsel TW_ABS	1/2/13					Auto
		EG_Küche_Deckenlicht_Kochinsel TW_REL	1/2/14					Auto
		EG_Küche_Deckenlicht_Kochinsel RGB_ABS	1/2/15					Auto
		EG_Küche_Deckenlicht_Kochinsel RM_EA	1/2/16					Auto
		EG_Küche_Deckenlicht_Kochinsel RM_DIM	1/2/17					Auto
		EG_Küche_Deckenlicht_Kochinsel RM_TWRGB	1/2/18					Auto
		EG_Küche_Deckenlicht_Kochinsel FEHLER	1/2/19					Auto
		EG_Speise_Deckenlicht EA	1/2/20					Auto
		EG_Speise_Deckenlicht DIM_REL	1/2/21					Auto
		EG_Speise_Deckenlicht DIM_ABS	1/2/22					Auto
		EG_Speise_Deckenlicht TW_ABS	1/2/23					Auto
		EG_Speise_Deckenlicht TW_REL	1/2/24					Auto
		EG_Speise_Deckenlicht RGB_ABS	1/2/25					Auto
		EG_Speise_Deckenlicht RM_EA	1/2/26					Auto
		EG_Speise_Deckenlicht RM_DIM	1/2/27					Auto
		EG_Speise_Deckenlicht RM_TWRGB	1/2/28					Auto
		EG_Speise_Deckenlicht FEHLER	1/2/29					Auto
		EG_Wohnen_Deckenlampe EA	1/2/30					Auto
		EG_Wohnen_Deckenlampe DIM_REL	1/2/31					Auto
		EG_Wohnen_Deckenlampe DIM_ABS	1/2/32					Auto
		EG_Wohnen_Deckenlampe TW_ABS	1/2/33					Auto
		EG_Wohnen_Deckenlampe TW_REL	1/2/34					Auto
		EG_Wohnen_Deckenlampe RGB_ABS	1/2/35					Auto
		EG_Wohnen_Deckenlampe RM_EA	1/2/36					Auto
		EG_Wohnen_Deckenlampe RM_DIM	1/2/37					Auto
		EG_Wohnen_Deckenlampe RM_TWRGB	1/2/38					Auto
		EG_Wohnen_Deckenlampe FEHLER	1/2/39					Auto
		EG_Wohnen_Kaminlampe EA	1/2/40					Auto
		EG_Wohnen_Kaminlampe DIM_REL	1/2/41					Auto
		EG_Wohnen_Kaminlampe DIM_ABS	1/2/42					Auto
		EG_Wohnen_Kaminlampe TW_ABS	1/2/43					Auto
		EG_Wohnen_Kaminlampe TW_REL	1/2/44					Auto
		EG_Wohnen_Kaminlampe RGB_ABS	1/2/45					Auto
		EG_Wohnen_Kaminlampe RM_EA	1/2/46					Auto
		EG_Wohnen_Kaminlampe RM_DIM	1/2/47					Auto
		EG_Wohnen_Kaminlampe RM_TWRGB	1/2/48					Auto
		EG_Wohnen_Kaminlampe FEHLER	1/2/49					Auto
		EG_Gast_Deckenlampe_zentral EA	1/2/50					Auto
		EG_Gast_Deckenlampe_zentral DIM_REL	1/2/51					Auto
		EG_Gast_Deckenlampe_zentral DIM_ABS	1/2/52					Auto
		EG_Gast_Deckenlampe_zentral TW_ABS	1/2/53					Auto
		EG_Gast_Deckenlampe_zentral TW_REL	1/2/54					Auto
		EG_Gast_Deckenlampe_zentral RGB_ABS	1/2/55					Auto
		EG_Gast_Deckenlampe_zentral RM_EA	1/2/56					Auto
		EG_Gast_Deckenlampe_zentral RM_DIM	1/2/57					Auto
		EG_Gast_Deckenlampe_zentral RM_TWRGB	1/2/58					Auto
		EG_Gast_Deckenlampe_zentral FEHLER	1/2/59					Auto
		EG_Gast_Deckenlampe_Eck EA	1/2/60					Auto
		EG_Gast_Deckenlampe_Eck DIM_REL	1/2/61					Auto
		EG_Gast_Deckenlampe_Eck DIM_ABS	1/2/62					Auto
		EG_Gast_Deckenlampe_Eck TW_ABS	1/2/63					Auto
		EG_Gast_Deckenlampe_Eck TW_REL	1/2/64					Auto
		EG_Gast_Deckenlampe_Eck RGB_ABS	1/2/65					Auto
		EG_Gast_Deckenlampe_Eck RM_EA	1/2/66					Auto
		EG_Gast_Deckenlampe_Eck RM_DIM	1/2/67					Auto
		EG_Gast_Deckenlampe_Eck RM_TWRGB	1/2/68					Auto
		EG_Gast_Deckenlampe_Eck FEHLER	1/2/69					Auto
		EG_BadGast_Deckenlampe EA	1/2/70					Auto
		EG_BadGast_Deckenlampe DIM_REL	1/2/71					Auto
		EG_BadGast_Deckenlampe DIM_ABS	1/2/72					Auto
		EG_BadGast_Deckenlampe TW_ABS	1/2/73					Auto
		EG_BadGast_Deckenlampe TW_REL	1/2/74					Auto
		EG_BadGast_Deckenlampe RGB_ABS	1/2/75					Auto
		EG_BadGast_Deckenlampe RM_EA	1/2/76					Auto
		EG_BadGast_Deckenlampe RM_DIM	1/2/77					Auto
		EG_BadGast_Deckenlampe RM_TWRGB	1/2/78					Auto
		EG_BadGast_Deckenlampe FEHLER	1/2/79					Auto
		EG_BadGast_Spiegel EA	1/2/80					Auto
		EG_BadGast_Spiegel DIM_REL	1/2/81					Auto
		EG_BadGast_Spiegel DIM_ABS	1/2/82					Auto
		EG_BadGast_Spiegel TW_ABS	1/2/83					Auto
		EG_BadGast_Spiegel TW_REL	1/2/84					Auto
		EG_BadGast_Spiegel RGB_ABS	1/2/85					Auto
		EG_BadGast_Spiegel RM_EA	1/2/86					Auto
		EG_BadGast_Spiegel RM_DIM	1/2/87					Auto
		EG_BadGast_Spiegel RM_TWRGB	1/2/88					Auto
		EG_BadGast_Spiegel FEHLER	1/2/89					Auto
	OG		1/3/-					Auto
		OG_Flur_Deckenlicht EA	1/3/0					Auto
		OG_Flur_Deckenlicht DIM_REL	1/3/1					Auto
		OG_Flur_Deckenlicht DIM_ABS	1/3/2					Auto
		OG_Flur_Deckenlicht TW_ABS	1/3/3					Auto
		OG_Flur_Deckenlicht TW_REL	1/3/4					Auto
		OG_Flur_Deckenlicht RGB_ABS	1/3/5					Auto
		OG_Flur_Deckenlicht RM_EA	1/3/6					Auto
		OG_Flur_Deckenlicht RM_DIM	1/3/7					Auto
		OG_Flur_Deckenlicht RM_TWRGB	1/3/8					Auto
		OG_Flur_Deckenlicht FEHLER	1/3/9					Auto
		OG_Flur_Deckenlicht_Treppe EA	1/3/10					Auto
		OG_Flur_Deckenlicht_Treppe DIM_REL	1/3/11					Auto
		OG_Flur_Deckenlicht_Treppe DIM_ABS	1/3/12					Auto
		OG_Flur_Deckenlicht_Treppe TW_ABS	1/3/13					Auto
		OG_Flur_Deckenlicht_Treppe TW_REL	1/3/14					Auto
		OG_Flur_Deckenlicht_Treppe RGB_ABS	1/3/15					Auto
		OG_Flur_Deckenlicht_Treppe RM_EA	1/3/16					Auto
		OG_Flur_Deckenlicht_Treppe RM_DIM	1/3/17					Auto
		OG_Flur_Deckenlicht_Treppe RM_TWRGB	1/3/18					Auto
		OG_Flur_Deckenlicht_Treppe FEHLER	1/3/19					Auto
		OG_Kinderbad_Spiegel EA	1/3/20					Auto
		OG_Kinderbad_Spiegel DIM_REL	1/3/21					Auto
		OG_Kinderbad_Spiegel DIM_ABS	1/3/22					Auto
		OG_Kinderbad_Spiegel TW_ABS	1/3/23					Auto
		OG_Kinderbad_Spiegel TW_REL	1/3/24					Auto
