Main	Middle	Sub	Address	Central	Unfiltered	Description	DatapointType	Security
		EG_Eingang_PM TASTERKURZ	5/2/0					Auto
		EG_Eingang_PM TASTERLANG	5/2/1					Auto
		EG_Eingang_PM EXTBEWEGUNG	5/2/2					Auto
		EG_Eingang_PM STATUSAKTOR	5/2/3					Auto
		EG_Eingang_PM SPERRE	5/2/4					Auto
		EG_Eingang_PM ZWANGSFÜHRUNG	5/2/5					Auto
		EG_Eingang_PM STATUSAUTOMATIK	5/2/6					Auto
		EG_Eingang_PM NURIMDUNKELNAKTIV	5/2/7					Auto
		EG_Eingang_PM NACHLAUFZEIT	5/2/8					Auto
		EG_Eingang_PM LEDROT	5/2/9					Auto
		EG_Eingang_PM RAUMHELLIGKEIT	5/2/10					Auto
		EG_Eingang_PM HELLIGKEITSSCHWELLWERT	5/2/11					Auto
		EG_Eingang_PM START_KALIBRIERUNG	5/2/12					Auto
		EG_Eingang_PM DIMMWERT	5/2/13					Auto
		EG_Garderobe_PM TASTERKURZ	5/2/20					Auto
		EG_Garderobe_PM TASTERLANG	5/2/21					Auto
		EG_Garderobe_PM EXTBEWEGUNG	5/2/22					Auto
		EG_Garderobe_PM STATUSAKTOR	5/2/23					Auto
		EG_Garderobe_PM SPERRE	5/2/24					Auto
		EG_Garderobe_PM ZWANGSFÜHRUNG	5/2/25					Auto
		EG_Garderobe_PM STATUSAUTOMATIK	5/2/26					Auto
		EG_Garderobe_PM NURIMDUNKELNAKTIV	5/2/27					Auto
		EG_Garderobe_PM NACHLAUFZEIT	5/2/28					Auto
		EG_Garderobe_PM LEDROT	5/2/29					Auto
		EG_Garderobe_PM RAUMHELLIGKEIT	5/2/30					Auto
		EG_Garderobe_PM HELLIGKEITSSCHWELLWERT	5/2/31					Auto
		EG_Garderobe_PM START_KALIBRIERUNG	5/2/32					Auto
		EG_Garderobe_PM DIMMWERT	5/2/33					Auto
		EG_Flur_PM TASTERKURZ	5/2/40					Auto
		EG_Flur_PM TASTERLANG	5/2/41					Auto
		EG_Flur_PM EXTBEWEGUNG	5/2/42					Auto
		EG_Flur_PM STATUSAKTOR	5/2/43					Auto
		EG_Flur_PM SPERRE	5/2/44					Auto
		EG_Flur_PM ZWANGSFÜHRUNG	5/2/45					Auto
		EG_Flur_PM STATUSAUTOMATIK	5/2/46					Auto
		EG_Flur_PM NURIMDUNKELNAKTIV	5/2/47					Auto
		EG_Flur_PM NACHLAUFZEIT	5/2/48					Auto
		EG_Flur_PM LEDROT	5/2/49					Auto
		EG_Flur_PM RAUMHELLIGKEIT	5/2/50					Auto
		EG_Flur_PM HELLIGKEITSSCHWELLWERT	5/2/51					Auto
		EG_Flur_PM START_KALIBRIERUNG	5/2/52					Auto
		EG_Flur_PM DIMMWERT	5/2/53					Auto
		EG_Küche_PM TASTERKURZ	5/2/60					Auto
		EG_Küche_PM TASTERLANG	5/2/61					Auto
		EG_Küche_PM EXTBEWEGUNG	5/2/62					Auto
		EG_Küche_PM STATUSAKTOR	5/2/63					Auto
		EG_Küche_PM SPERRE	5/2/64					Auto
		EG_Küche_PM ZWANGSFÜHRUNG	5/2/65					Auto
		EG_Küche_PM STATUSAUTOMATIK	5/2/66					Auto
		EG_Küche_PM NURIMDUNKELNAKTIV	5/2/67					Auto
		EG_Küche_PM NACHLAUFZEIT	5/2/68					Auto
		EG_Küche_PM LEDROT	5/2/69					Auto
		EG_Küche_PM RAUMHELLIGKEIT	5/2/70					Auto
		EG_Küche_PM HELLIGKEITSSCHWELLWERT	5/2/71					Auto
		EG_Küche_PM START_KALIBRIERUNG	5/2/72					Auto
		EG_Küche_PM DIMMWERT	5/2/73					Auto
		EG_Speise_PM TASTERKURZ	5/2/80					Auto
		EG_Speise_PM TASTERLANG	5/2/81					Auto
		EG_Speise_PM EXTBEWEGUNG	5/2/82					Auto
		EG_Speise_PM STATUSAKTOR	5/2/83					Auto
		EG_Speise_PM SPERRE	5/2/84					Auto
		EG_Speise_PM ZWANGSFÜHRUNG	5/2/85					Auto
		EG_Speise_PM STATUSAUTOMATIK	5/2/86					Auto
		EG_Speise_PM NURIMDUNKELNAKTIV	5/2/87					Auto
		EG_Speise_PM NACHLAUFZEIT	5/2/88					Auto
		EG_Speise_PM LEDROT	5/2/89					Auto
		EG_Speise_PM RAUMHELLIGKEIT	5/2/90					Auto
		EG_Speise_PM HELLIGKEITSSCHWELLWERT	5/2/91					Auto
		EG_Speise_PM START_KALIBRIERUNG	5/2/92					Auto
		EG_Speise_PM DIMMWERT	5/2/93					Auto
		EG_Wohnen_PM TASTERKURZ	5/2/100					Auto
		EG_Wohnen_PM TASTERLANG	5/2/101					Auto
		EG_Wohnen_PM EXTBEWEGUNG	5/2/102					Auto
		EG_Wohnen_PM STATUSAKTOR	5/2/103					Auto
		EG_Wohnen_PM SPERRE	5/2/104					Auto
		EG_Wohnen_PM ZWANGSFÜHRUNG	5/2/105					Auto
		EG_Wohnen_PM STATUSAUTOMATIK	5/2/106					Auto
		EG_Wohnen_PM NURIMDUNKELNAKTIV	5/2/107					Auto
		EG_Wohnen_PM NACHLAUFZEIT	5/2/108					Auto
		EG_Wohnen_PM LEDROT	5/2/109					Auto
		EG_Wohnen_PM RAUMHELLIGKEIT	5/2/110					Auto
		EG_Wohnen_PM HELLIGKEITSSCHWELLWERT	5/2/111					Auto
		EG_Wohnen_PM START_KALIBRIERUNG	5/2/112					Auto
		EG_Wohnen_PM DIMMWERT	5/2/113					Auto
		EG_Gast_PM TASTERKURZ	5/2/120					Auto
		EG_Gast_PM TASTERLANG	5/2/121					Auto
		EG_Gast_PM EXTBEWEGUNG	5/2/122					Auto
		EG_Gast_PM STATUSAKTOR	5/2/123					Auto
		EG_Gast_PM SPERRE	5/2/124					Auto
		EG_Gast_PM ZWANGSFÜHRUNG	5/2/125					Auto
		EG_Gast_PM STATUSAUTOMATIK	5/2/126					Auto
		EG_Gast_PM NURIMDUNKELNAKTIV	5/2/127					Auto
		EG_Gast_PM NACHLAUFZEIT	5/2/128					Auto
		EG_Gast_PM LEDROT	5/2/129					Auto
		EG_Gast_PM RAUMHELLIGKEIT	5/2/130					Auto
		EG_Gast_PM HELLIGKEITSSCHWELLWERT	5/2/131					Auto
		EG_Gast_PM START_KALIBRIERUNG	5/2/132					Auto
		EG_Gast_PM DIMMWERT	5/2/133					Auto
		EG_BadGast_PM TASTERKURZ	5/2/140					Auto
		EG_BadGast_PM TASTERLANG	5/2/141					Auto
		EG_BadGast_PM EXTBEWEGUNG	5/2/142					Auto
		EG_BadGast_PM STATUSAKTOR	5/2/143					Auto
		EG_BadGast_PM SPERRE	5/2/144					Auto
		EG_BadGast_PM ZWANGSFÜHRUNG	5/2/145					Auto
		EG_BadGast_PM STATUSAUTOMATIK	5/2/146					Auto
		EG_BadGast_PM NURIMDUNKELNAKTIV	5/2/147					Auto
		EG_BadGast_PM NACHLAUFZEIT	5/2/148					Auto
		EG_BadGast_PM LEDROT	5/2/149					Auto
		EG_BadGast_PM RAUMHELLIGKEIT	5/2/150					Auto
		EG_BadGast_PM HELLIGKEITSSCHWELLWERT	5/2/151					Auto
		EG_BadGast_PM START_KALIBRIERUNG	5/2/152					Auto
		EG_BadGast_PM DIMMWERT	5/2/153					Auto
	OG		5/3/-					Auto
		OG_Flur_PM TASTERKURZ	5/3/0					Auto
		OG_Flur_PM TASTERLANG	5/3/1					Auto
		OG_Flur_PM EXTBEWEGUNG	5/3/2					Auto
		OG_Flur_PM STATUSAKTOR	5/3/3					Auto
		OG_Flur_PM SPERRE	5/3/4					Auto
		OG_Flur_PM ZWANGSFÜHRUNG	5/3/5					Auto
		OG_Flur_PM STATUSAUTOMATIK	5/3/6					Auto
		OG_Flur_PM NURIMDUNKELNAKTIV	5/3/7					Auto
		OG_Flur_PM NACHLAUFZEIT	5/3/8					Auto
		OG_Flur_PM LEDROT	5/3/9					Auto
		OG_Flur_PM RAUMHELLIGKEIT	5/3/10					Auto
		OG_Flur_PM HELLIGKEITSSCHWELLWERT	5/3/11					Auto
		OG_Flur_PM START_KALIBRIERUNG	5/3/12					Auto
		OG_Flur_PM DIMMWERT	5/3/13					Auto
		OG_Kinderbad_PM TASTERKURZ	5/3/20					Auto
		OG_Kinderbad_PM TASTERLANG	5/3/21					Auto
		OG_Kinderbad_PM EXTBEWEGUNG	5/3/22					Auto
		OG_Kinderbad_PM STATUSAKTOR	5/3/23					Auto
		OG_Kinderbad_PM SPERRE	5/3/24					Auto
		OG_Kinderbad_PM ZWANGSFÜHRUNG	5/3/25					Auto
		OG_Kinderbad_PM STATUSAUTOMATIK	5/3/26					Auto
		OG_Kinderbad_PM NURIMDUNKELNAKTIV	5/3/27					Auto
		OG_Kinderbad_PM NACHLAUFZEIT	5/3/28					Auto
		OG_Kinderbad_PM LEDROT	5/3/29					Auto
		OG_Kinderbad_PM RAUMHELLIGKEIT	5/3/30					Auto
		OG_Kinderbad_PM HELLIGKEITSSCHWELLWERT	5/3/31					Auto
		OG_Kinderbad_PM START_KALIBRIERUNG	5/3/32					Auto
		OG_Kinderbad_PM DIMMWERT	5/3/33					Auto
		OG_Arbeit_PM TASTERKURZ	5/3/40					Auto
		OG_Arbeit_PM TASTERLANG	5/3/41					Auto
		OG_Arbeit_PM EXTBEWEGUNG	5/3/42					Auto
		OG_Arbeit_PM STATUSAKTOR	5/3/43					Auto
		OG_Arbeit_PM SPERRE	5/3/44					Auto
		OG_Arbeit_PM ZWANGSFÜHRUNG	5/3/45					Auto
		OG_Arbeit_PM STATUSAUTOMATIK	5/3/46					Auto
		OG_Arbeit_PM NURIMDUNKELNAKTIV	5/3/47					Auto
		OG_Arbeit_PM NACHLAUFZEIT	5/3/48					Auto
		OG_Arbeit_PM LEDROT	5/3/49					Auto
		OG_Arbeit_PM RAUMHELLIGKEIT	5/3/50					Auto
		OG_Arbeit_PM HELLIGKEITSSCHWELLWERT	5/3/51					Auto
		OG_Arbeit_PM START_KALIBRIERUNG	5/3/52					Auto
		OG_Arbeit_PM DIMMWERT	5/3/53					Auto
		OG_Kind1_PM TASTERKURZ	5/3/60					Auto
		OG_Kind1_PM TASTERLANG	5/3/61					Auto
		OG_Kind1_PM EXTBEWEGUNG	5/3/62					Auto
